            JDUT ,            Calendar Date (UT ),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
2460356.753472222, A.D. 2024-Feb-16 06:05:00.0000, -2.922007851117650E+05, -1.086696002572458E+05, -2.894386203981641E+04,  4.797366667770764E-02,  5.723317719055649E-01,  2.927344135952076E-02,  1.044370633935393E+00,  3.130944394105098E+05, -2.461247620003855E-01,
2460356.760565972, A.D. 2024-Feb-16 06:15:12.9000, -2.921704878816010E+05, -1.083201924600640E+05, -2.892580536485210E+04,  5.088939331399189E-02,  5.678559441345382E-01,  2.964773638360579E-02,  1.043866760448093E+00,  3.129433819392309E+05, -2.468057582950612E-01,
2460356.767659722, A.D. 2024-Feb-16 06:25:25.8000, -2.921384074628141E+05, -1.079735116179186E+05, -2.890752095221062E+04,  5.379254310668791E-02,  5.634330929766939E-01,  3.001660961626396E-02,  1.043361473156977E+00,  3.127919006202311E+05, -2.475077618854130E-01,
2460356.774753472, A.D. 2024-Feb-16 06:35:38.7000, -2.921045515276601E+05, -1.076295255306071E+05, -2.888901208768960E+04,  5.668323355674132E-02,  5.590623432233386E-01,  3.038018199728235E-02,  1.042854729658897E+00,  3.126399827413661E+05, -2.482302424176287E-01,
2460356.781847222, A.D. 2024-Feb-16 06:45:51.6000, -2.920689276769171E+05, -1.072882025280898E+05, -2.887028198396913E+04,  5.956158035634240E-02,  5.547428405342344E-01,  3.073857104118768E-02,  1.042346488620582E+00,  3.124876159112334E+05, -2.489726836647122E-01,
2460356.788940972, A.D. 2024-Feb-16 06:56:04.5000, -2.920315434410233E+05, -1.069495114578139E+05, -2.885133378275743E+04,  6.242769741662302E-02,  5.504737507860350E-01,  3.109189095820922E-02,  1.041836709750275E+00,  3.123347880506676E+05, -2.497345830663006E-01,
2460356.796034722, A.D. 2024-Feb-16 07:06:17.4000, -2.919924062811141E+05, -1.066134216722220E+05, -2.883217055673797E+04,  6.528169690074659E-02,  5.462542594473749E-01,  3.144025276873846E-02,  1.041325353769751E+00,  3.121814873843531E+05, -2.505154512918394E-01,
2460356.803128472, A.D. 2024-Feb-16 07:16:30.3000, -2.919515235901136E+05, -1.062799030171893E+05, -2.881279531150592E+04,  6.812368925111512E-02,  5.420835709834995E-01,  3.178376441283617E-02,  1.040812382388100E+00,  3.120277024329644E+05, -2.513148118182991E-01,
2460356.810222222, A.D. 2024-Feb-16 07:26:43.2000, -2.919089026937439E+05, -1.059489258201959E+05, -2.879321098747463E+04,  7.095378321844226E-02,  5.379609082580570E-01,  3.212253086045117E-02,  1.040297758275452E+00,  3.118734220052877E+05, -2.521322005170636E-01,
2460356.817315972, A.D. 2024-Feb-16 07:36:56.1000, -2.918645508516479E+05, -1.056204608801042E+05, -2.877342046151985E+04,  7.377208589172846E-02,  5.338855120387790E-01,  3.245665419848456E-02,  1.039781445039291E+00,  3.117186351911210E+05, -2.529671652854653E-01,
2460356.824409722, A.D. 2024-Feb-16 07:47:09.0000, -2.918184752583103E+05, -1.052944794555690E+05, -2.875342654879421E+04,  7.657870272789469E-02,  5.298566404214760E-01,  3.278623373681275E-02,  1.039263407199114E+00,  3.115633313536771E+05, -2.538192656579427E-01,
2460356.831503472, A.D. 2024-Feb-16 07:57:21.9000, -2.917706830440777E+05, -1.049709532547568E+05, -2.873323200443587E+04,  7.937373757733690E-02,  5.258735683123352E-01,  3.311136610245363E-02,  1.038743610163315E+00,  3.114075001226540E+05, -2.546880724417182E-01,
2460356.838597222, A.D. 2024-Feb-16 08:07:34.8000, -2.917211812761225E+05, -1.046498544251368E+05, -2.871283952515924E+04,  8.215729271316896E-02,  5.219355869370621E-01,  3.343214532734676E-02,  1.038222020206391E+00,  3.112511313873995E+05, -2.555731673718889E-01,
2460356.845690972, A.D. 2024-Feb-16 08:17:47.7000, -2.916699769594401E+05, -1.043311555438692E+05, -2.869225175083706E+04,  8.492946885642283E-02,  5.180420033657970E-01,  3.374866293382683E-02,  1.037698604447337E+00,  3.110942152904370E+05, -2.564741427757081E-01,
2460356.852784722, A.D. 2024-Feb-16 08:28:00.6000, -2.916170770377468E+05, -1.040148296075028E+05, -2.867147126605688E+04,  8.769036520534279E-02,  5.141921400130579E-01,  3.406100802499615E-02,  1.037173330827385E+00,  3.109367422207888E+05, -2.573906012387004E-01,
2460356.859878472, A.D. 2024-Feb-16 08:38:13.5000, -2.915624883943974E+05, -1.037008500240659E+05, -2.865050060138808E+04,  9.044007946283350E-02,  5.103853343060037E-01,  3.436926733921486E-02,  1.036646168090778E+00,  3.107787028082154E+05, -2.583221553319696E-01,
2460356.866972222, A.D. 2024-Feb-16 08:48:26.4000, -2.915062178533167E+05, -1.033891906028675E+05, -2.862934223498734E+04,  9.317870786095084E-02,  5.066209381523548E-01,  3.467352534885973E-02,  1.036117085763534E+00,  3.106200879168466E+05, -2.592684272766910E-01,
2460356.874065972, A.D. 2024-Feb-16 08:58:39.3000, -2.914482721799266E+05, -1.030798255462180E+05, -2.860799859393940E+04,  9.590634518523888E-02,  5.028983175531690E-01,  3.497386432794403E-02,  1.035586054134631E+00,  3.104608886395421E+05, -2.602290486629276E-01,
2460356.881159722, A.D. 2024-Feb-16 09:08:52.2000, -2.913886580819575E+05, -1.027727294405788E+05, -2.858647205555278E+04,  9.862308480341953E-02,  4.992168522019156E-01,  3.527036442214890E-02,  1.035053044236551E+00,  3.103010962920583E+05, -2.612036601731907E-01,
2460356.888253472, A.D. 2024-Feb-16 09:19:05.1000, -2.913273822103532E+05, -1.024678772484807E+05, -2.856476494867113E+04,  1.013290186881466E-01,  4.955759350981307E-01,  3.556310371705604E-02,  1.034518027827321E+00,  3.101407024076649E+05, -2.621919113117068E-01,
2460356.895347222, A.D. 2024-Feb-16 09:29:18.0000, -2.912644511600886E+05, -1.021652443001105E+05, -2.854287955496280E+04,  1.040242374420584E-01,  4.919749721554517E-01,  3.585215830744873E-02,  1.033980977372259E+00,  3.099796987316718E+05, -2.631934601391004E-01,
2460356.902440972, A.D. 2024-Feb-16 09:39:30.9000, -2.911998714710815E+05, -1.018648062869499E+05, -2.852081810987261E+04,  1.067088303228689E-01,  4.884133819341745E-01,  3.613760233960620E-02,  1.033441866028497E+00,  3.098180772167897E+05, -2.642079730535056E-01,
2460356.909534722, A.D. 2024-Feb-16 09:49:43.8000, -2.911336496289034E+05, -1.015665392524799E+05, -2.849858280405800E+04,  1.093828852670327E-01,  4.848905951917610E-01,  3.641950809398539E-02,  1.032900667626113E+00,  3.096558300174734E+05, -2.652351245151693E-01,
2460356.916628472, A.D. 2024-Feb-16 09:59:56.7000, -2.910657920656280E+05, -1.012704195853888E+05, -2.847617578443893E+04,  1.120464889125822E-01,  4.814060545803635E-01,  3.669794603612467E-02,  1.032357356652650E+00,  3.094929494852805E+05, -2.662745968240071E-01,
