            JDUT ,            Calendar Date (UT ),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
2460318.422916667, A.D. 2024-Jan-08 22:09:00.0000,  1.323272393917071E+05,  5.034470688017067E+05,  2.777168985287854E+04, -1.167700696184633E+00,  2.078193815325770E+00,  1.947791580866104E-01,  1.738828119829964E+00,  5.212875560833435E+05,  1.721029614200990E+00,
2460318.427517430, A.D. 2024-Jan-08 22:15:37.5060,  1.318627318127307E+05,  5.042714875139810E+05,  2.784908606395993E+04, -1.169404947811554E+00,  2.069773941954419E+00,  1.946295218954995E-01,  1.741105798120667E+00,  5.219703868566464E+05,  1.714555711117226E+00,
2460318.432118195, A.D. 2024-Jan-08 22:22:15.0120,  1.313975516126231E+05,  5.050925730493820E+05,  2.792642239901610E+04, -1.171084991372463E+00,  2.061423157376061E+00,  1.944779103731376E-01,  1.743374934191425E+00,  5.226506567368355E+05,  1.708144602653595E+00,
2460318.436718958, A.D. 2024-Jan-08 22:28:52.5180,  1.309317083275144E+05,  5.059103526500115E+05,  2.800369808233250E+04, -1.172741347619652E+00,  2.053140229564935E+00,  1.943243861443529E-01,  1.745635610581164E+00,  5.233283904684579E+05,  1.701795062468083E+00,
2460318.441319722, A.D. 2024-Jan-08 22:35:30.0240,  1.304652112550675E+05,  5.067248530241324E+05,  2.808091236868486E+04, -1.174374516172970E+00,  2.044923964862674E+00,  1.941690086301538E-01,  1.747887908034614E+00,  5.240036122581749E+05,  1.695505905546719E+00,
2460318.445920486, A.D. 2024-Jan-08 22:42:07.5300,  1.299980695143280E+05,  5.075361004370221E+05,  2.815806453308606E+04, -1.175984984727180E+00,  2.036773195744503E+00,  1.940118357024103E-01,  1.750131905842322E+00,  5.246763458766942E+05,  1.689275974047123E+00,
2460318.450521250, A.D. 2024-Jan-08 22:48:45.0360,  1.295302920336464E+05,  5.083441206956473E+05,  2.823515387310239E+04, -1.177573226683845E+00,  2.028686783642872E+00,  1.938529232396869E-01,  1.752367681780203E+00,  5.253466146406487E+05,  1.683104140636185E+00,
2460318.455122014, A.D. 2024-Jan-08 22:55:22.5420,  1.290618875561449E+05,  5.091489391602757E+05,  2.831217970809506E+04, -1.179139701676560E+00,  2.020663618011780E+00,  1.936923252078714E-01,  1.754595312150147E+00,  5.260144414247697E+05,  1.676989307460336E+00,
2460318.459722778, A.D. 2024-Jan-08 23:02:00.0480,  1.285928646451076E+05,  5.099505807554593E+05,  2.838914137847265E+04, -1.180684856070825E+00,  2.012702615432846E+00,  1.935300937367446E-01,  1.756814871818539E+00,  5.266798486734347E+05,  1.670930405162543E+00,
2460318.464323542, A.D. 2024-Jan-08 23:08:37.5540,  1.281232316891618E+05,  5.107490699806508E+05,  2.846603824497492E+04, -1.182209123440276E+00,  2.004802718758874E+00,  1.933662791926464E-01,  1.759026434253428E+00,  5.273428584118105E+05,  1.664926391942049E+00,
2460318.468924305, A.D. 2024-Jan-08 23:15:15.0600,  1.276529969072616E+05,  5.115444309204646E+05,  2.854286968798787E+04, -1.183712925020463E+00,  1.996962896293184E+00,  1.932009302474529E-01,  1.761230071560396E+00,  5.280034922566070E+05,  1.658976252654789E+00,
2460318.473525070, A.D. 2024-Jan-08 23:21:52.5660,  1.271821683533397E+05,  5.123366872548385E+05,  2.861963510691022E+04, -1.185196670141845E+00,  1.989182141000607E+00,  1.930340939440232E-01,  1.763425854517855E+00,  5.286617714266581E+05,  1.653078997950680E+00,
2460318.478125833, A.D. 2024-Jan-08 23:28:30.0720,  1.267107539214856E+05,  5.131258622676819E+05,  2.869633391943265E+04, -1.186660756640533E+00,  1.981459469762396E+00,  1.928658157586186E-01,  1.765613852607857E+00,  5.293177167521591E+05,  1.647233663456301E+00,
2460318.482726597, A.D. 2024-Jan-08 23:35:07.5780,  1.262387613495394E+05,  5.139119788575905E+05,  2.877296556107359E+04, -1.188105571254655E+00,  1.973793922638308E+00,  1.926961396597642E-01,  1.767794134052362E+00,  5.299713486855391E+05,  1.641439308974446E+00,
