            JDUT ,            Calendar Date (UT ),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
2460317.838194444, A.D. 2024-Jan-08 08:07:00.0000,  2.620032278994086E+03, -6.372950583645181E+03, -1.038520726986214E+03,  9.870874391786451E+00,  3.064729585763978E+00, -2.359322874885012E+00,  2.324383987728922E-02,  6.968327890170954E+03,  1.260107901304970E+00,
2460317.848731250, A.D. 2024-Jan-08 08:22:10.3800,  9.807520439345164E+03, -1.633774396751649E+03, -2.610066771541396E+03,  5.931399800052396E+00,  6.245839363613563E+00, -1.161053603142388E+00,  3.428888410222342E-02,  1.027954884708268E+04,  4.961157393445324E+00,
2460317.859268056, A.D. 2024-Jan-08 08:37:20.7600,  1.404194634377159E+04,  4.059788463920309E+03, -3.367441000697423E+03,  3.664236410464075E+00,  6.112037930845076E+00, -5.868249384397879E-01,  5.003436948603214E-02,  1.499992661269777E+04,  5.216204887363826E+00,
2460317.869804861, A.D. 2024-Jan-08 08:52:31.1400,  1.682157121413964E+04,  9.413804887528644E+03, -3.771125716261862E+03,  2.557873388251503E+00,  5.649199075808349E+00, -3.297421368686675E-01,  6.551850722641746E-02,  1.964195432589845E+04,  4.961390534916401E+00,
2460317.880341667, A.D. 2024-Jan-08 09:07:41.5200,  1.883969919499433E+04,  1.436249794369336E+04, -4.002891022786596E+03,  1.927251903114306E+00,  5.235180293122983E+00, -1.919068862532778E-01,  8.014142043700630E-02,  2.402579342042155E+04,  4.672781985183700E+00,
2460317.890878472, A.D. 2024-Jan-08 09:22:51.9000,  2.039803587616103E+04,  1.896826283792637E+04, -4.136534585114014E+03,  1.522945832144537E+00,  4.894427279553001E+00, -1.078929215067186E-01,  9.393165993181686E-02,  2.816000321497949E+04,  4.415844297076177E+00,
2460317.901415278, A.D. 2024-Jan-08 09:38:02.2800,  2.164958029642713E+04,  2.329219618258424E+04, -4.207771839418107E+03,  1.242044673109260E+00,  4.613440354329335E+00, -5.207881708165996E-02,  1.069974663377275E-01,  3.207703343315958E+04,  4.195089915414600E+00,
2460317.911952083, A.D. 2024-Jan-08 09:53:12.6600,  2.268184535025599E+04,  2.738203468594205E+04, -4.236291059545300E+03,  1.035476687455598E+00,  4.378066450444189E+00, -1.269488177532652E-02,  1.194414774956318E-01,  3.580765412556715E+04,  4.005307586007086E+00,
2460317.922488889, A.D. 2024-Jan-08 10:08:23.0400,  2.354944888753672E+04,  3.127415497009023E+04, -4.233999222878207E+03,  8.770803909346199E-01,  4.177559209409444E+00,  1.634825904389325E-02,  1.313487168438860E-01,  3.937735467777459E+04,  3.840663667477063E+00,
2460317.933025694, A.D. 2024-Jan-08 10:23:33.4200,  2.428875522455006E+04,  3.499656605680526E+04, -4.208604910680895E+03,  7.516784688132465E-01,  4.004139419000336E+00,  3.849391947899128E-02,  1.427878616650313E-01,  4.280672402112371E+04,  3.696299166402981E+00,
2460317.943562500, A.D. 2024-Jan-08 10:38:43.8000,  2.492520340553010E+04,  3.857122359455706E+04, -4.165364288531602E+03,  6.498714339118543E-01,  3.852160600707810E+00,  5.582666757672139E-02,  1.538144778413776E-01,  4.611242038805313E+04,  3.568413580062265E+00,
2460317.954099305, A.D. 2024-Jan-08 10:53:54.1800,  2.547729591136372E+04,  4.201565870223160E+04, -4.108010056735928E+03,  5.655292464645785E-01,  3.717459179886380E+00,  6.967818266995440E-02,  1.644739554073533E-01,  4.930805136855283E+04,  3.454069035341559E+00,
2460317.964636111, A.D. 2024-Jan-08 11:09:04.5600,  2.595891917107515E+04,  4.534411098334884E+04, -4.039281161678296E+03,  4.944831726096957E-01,  3.596906954274708E+00,  8.093692515520590E-02,  1.748038074767091E-01,  5.240486311120141E+04,  3.350984229668642E+00,
2460317.975172917, A.D. 2024-Jan-08 11:24:14.9400,  2.638076751535347E+04,  4.856832490033863E+04, -3.961242000781231E+03,  4.337988305356779E-01,  3.488109709878744E+00,  9.021717636695104E-02,  1.848354024398889E-01,  5.541225962287349E+04,  3.257369775830016E+00,
2460317.985709722, A.D. 2024-Jan-08 11:39:25.3200,  2.675125655734481E+04,  5.169811917445229E+04, -3.875483787781162E+03,  3.813501456371476E-01,  3.389203148515833E+00,  9.795652060469129E-02,  1.945952617946890E-01,  5.833819184858330E+04,  3.171805451826035E+00,
2460317.996246528, A.D. 2024-Jan-08 11:54:35.7000,  2.707713102003868E+04,  5.474180148080224E+04, -3.783256487922630E+03,  3.355584167373247E-01,  3.298712648746857E+00,  1.044746667515171E-01,  2.041060377565886E-01,  6.118945075168850E+04,  3.093150459579033E+00,
2460318.006783333, A.D. 2024-Jan-08 12:09:46.0800,  2.736388206846207E+04,  5.770647596888858E+04, -3.685558087289366E+03,  2.952263966263192E-01,  3.215455183613214E+00,  1.100103361582614E-01,  2.133872570724507E-01,  6.397189030362789E+04,  3.020477856473819E+00,
2460318.017320139, A.D. 2024-Jan-08 12:24:56.4600,  2.761604164804741E+04,  6.059827518485529E+04, -3.583196684714585E+03,  2.594293290779074E-01,  3.138469479987674E+00,  1.147451740751035E-01,  2.224558935164215E-01,  6.669059911387427E+04,  2.953026310357426E+00,
2460318.027856945, A.D. 2024-Jan-08 12:40:06.8400,  2.783739503828467E+04,  6.342253777307352E+04, -3.476834740466049E+03,  2.274413273847476E-01,  3.066965404330566E+00,  1.188197075954176E-01,  2.313268140114389E-01,  6.935003417379811E+04,  2.890164210932921E+00,
2460318.038393750, A.D. 2024-Jan-08 12:55:17.2200,  2.803113722122382E+04,  6.618394641674895E+04, -3.367021211901068E+03,  1.986845379752810E-01,  3.000286748173151E+00,  1.223442339331908E-01,  2.400131293641875E-01,  7.195412600436175E+04,  2.831362794685850E+00,
2460318.048930556, A.D. 2024-Jan-08 13:10:27.6000,  2.819999026501902E+04,  6.888663643176891E+04, -3.254215385963344E+03,  1.726931229154158E-01,  2.937883396965548E+00,  1.254064501379915E-01,  2.485264738178996E-01,  7.450636246394075E+04,  2.776175663270571E+00,
2460318.059467361, A.D. 2024-Jan-08 13:25:37.9800,  2.834629317991781E+04,  7.153428252278653E+04, -3.138804913092117E+03,  1.490871368346531E-01,  2.879290140914333E+00,  1.280769288686601E-01,  2.568772312906915E-01,  7.700985657287091E+04,  2.724222884420074E+00,
2460318.070004167, A.D. 2024-Jan-08 13:40:48.3600,  2.847207063744437E+04,  7.413016815409984E+04, -3.021119424427248E+03,  1.275536989711234E-01,  2.824110590120358E+00,  1.304130180452494E-01,  2.650747166576473E-01,  7.946740086044963E+04,  2.675178944506779E+00,
2460318.080540972, A.D. 2024-Jan-08 13:55:58.7400,  2.857908744207646E+04,  7.667724234767213E+04, -2.901441221334186E+03,  1.078326692745401E-01,  2.772004527743614E+00,  1.324617839487875E-01,  2.731273264057816E-01,  8.188151253015759E+04,  2.628763020070904E+00,
2460318.091077778, A.D. 2024-Jan-08 14:11:09.1200,  2.866889154879553E+04,  7.917816624249445E+04, -2.780013618682919E+03,  8.970591885897936E-02,  2.722678010748660E+00,  1.342621911961072E-01,  2.810426627543553E-01,  8.425447066999323E+04,  2.584731337899850E+00,
2460318.101614583, A.D. 2024-Jan-08 14:26:19.5000,  2.874284805596311E+04,  8.163535123719579E+04, -2.657047459723923E+03,  7.298926573651240E-02,  2.675875632304479E+00,  1.358467240218413E-01,  2.888276352737603E-01,  8.658834671704809E+04,  2.542871225056954E+00,
2460318.112151389, A.D. 2024-Jan-08 14:41:29.8800,  2.880216761198721E+04,  8.405099152411731E+04, -2.532726522275545E+03,  5.752591439987878E-02,  2.631374101815507E+00,  1.372426979816992E-01,  2.964885494799508E-01,  8.888503101744907E+04,  2.502995977941587E+00,
2460318.122688194, A.D. 2024-Jan-08 14:56:40.2600,  2.884792842326866E+04,  8.642709047027334E+04, -2.407211639265799E+03,  4.318172035062115E-02,  2.588977346601636E+00,  1.384731915116005E-01,  3.040311772995209E-01,  9.114625395125715E+04,  2.464941108604544E+00,
2460318.133225000, A.D. 2024-Jan-08 15:11:50.6400,  2.888109555451733E+04,  8.876548391272152E+04, -2.280644303077712E+03,  2.984105105622073E-02,  2.548512232222445E+00,  1.395578602566598E-01,  3.114608214300212E-01,  9.337360522720512E+04,  2.428560848721562E+00,
2460318.143761806, A.D. 2024-Jan-08 15:27:01.0200,  2.890253589886523E+04,  9.106785909168852E+04, -2.153149411317314E+03,  1.740381191997956E-02,  2.509825302527034E+00,  1.405135115145992E-01,  3.187823663827807E-01,  9.556854918495042E+04,  2.393725620619817E+00,
